INMUEBLE;PROVINCIA;MUNICIPIO;AFECTACIÓN;SUBTIPO;ESTADO INMUEBLE;ADSCRIPCIÓN;CERTIFICADO ENERGÉTICO (S/N);INSCRITO REGISTRO PROPIEDAD (S/N);LICENCIA APERTURA (S/N);FECHA ALTA;FECHA BAJA;FECHA BIC;SUPERFICIE CONSTRUIDA;CALIFICACIÓN SUELO CASTELLANO;CALIFICACIÓN SUELO VALENCIANO;CLASIFICACIÓN SUELO CASTELLANO;CLASIFICACIÓN SUELO VALENCIANO;DERECHO TERCERO CASTELLANO;DERECHO TERCERO VALENCIANO;NATURALEZA CASTELLANO;NATURALEZA VALENCIANO;NIVEL CASTELLANO;NIVEL VALENCIANO;SITUACIÓN ARRENDAMIENTO CASTELLANO;SITUACIÓN ARRENDAMIENTO VALENCIANO;USO PORMENOR CASTELLANO;USO PORMENOR VALENCIANO
Monte Saladares Mup Al117al1030 Parque Natural Hondo O Fondo (Antes Nº117 Del Catalogo De Montes);Alicante/Alacant;Crevillent;Montes;Suelo No Urbanizable;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;S;N;1984/01/01 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Suelo No Urbanizable Comun;Suelo No Urbanizable Comun;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Monte San Juan De Peñagolosa Mup Cs001cs1002 Con Casa Forestal Y Almacenes;Castellón/Castelló;Vistabella del Maestrat;Montes;Suelo No Urbanizable;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;S;N;1984/01/01 00:00:00.000000000;;;995,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Monte San Juan De Peñagolosa Mup Cs001cs1002 Con Casa Forestal Y Almacenes;Castellón/Castelló;Vistabella del Maestrat;Montes;Suelo No Urbanizable;Inventariado;Presidencia;N;S;N;1984/01/01 00:00:00.000000000;;;995,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Monte San Pascual Y Barranco Del Infierno Y Del Desierto Mup Al114al1012;Alicante/Alacant;Alacant/Alicante;Montes;Suelo No Urbanizable;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;S;N;1984/01/01 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Suelo No Urbanizable Especial Proteccion;Suelo No Urbanizable Especial Proteccion;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Monte Santa Ana Mup V160v1042 (Antes Nº 160 Del C.U.P. Y V-1042 Del Elenco);Valencia/València;Xàtiva;Montes;Suelo No Urbanizable;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;S;N;1984/01/01 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Suelo No Urbanizable Comun;Suelo No Urbanizable Comun;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Monte Santa Barbara,  Balsa Enreal Mup Cs1032 (Antes Cs-1032);Castellón/Castelló;Vilanova d'Alcolea;Montes;Suelo No Urbanizable;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;S;N;1984/01/01 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Desconocida;Desconeguda;Autorizacion;Autorizacion;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Monte Santis-Canaleta;Valencia/València;Bicorp;Montes;Suelo No Urbanizable;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;S;N;1989/05/11 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Suelo No Urbanizable Especial Proteccion;Suelo No Urbanizable Especial Proteccion;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Monte Serreta Dels Canals Mup Al107al1038 (Antes Nº 107 Del Catálogo);Alicante/Alacant;Elx/Elche;Montes;Suelo No Urbanizable;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;N;N;1984/01/01 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Suelo No Urbanizable Comun;Suelo No Urbanizable Comun;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Zonas Verdes Publicas;Zonas Verdes Publicas
Monte Serreta Negra Y Serreta De La Torre Mup Al030al1008;Alicante/Alacant;Alacant/Alicante;Montes;Suelo No Urbanizable;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;S;N;1984/01/01 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Suelo No Urbanizable Especial Proteccion;Suelo No Urbanizable Especial Proteccion;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
Monte Sierra De Los Colmenares Mup Al034al1033 (Antes Nºcat.: 34 Al-1033);Alicante/Alacant;Elx/Elche;Montes;Suelo No Urbanizable;Inventariado;Conselleria De Medio Ambiente  Infraestructuras Y Territorio;N;N;N;1984/01/01 00:00:00.000000000;;;0,0;Desconocida;Desconeguda;Suelo No Urbanizable Comun;Suelo No Urbanizable Comun;Desconocido;Desconegut;Dominio público;Domini públic;Sin Protección;Sense Protecció;Otra;Altra;Desconocido;Desconegut
